corridor,source_country,dest_country,dest_currency,fee_pct,min_fee_gbp,fx_spread
Belgium -> Poland,Belgium,Poland,PLN,0.0078,1.13,0.0069
Lithuania -> USA,Lithuania,USA,USD,0.008,0.53,0.0077
Germany -> Nigeria,Germany,Nigeria,NGN,0.0052,1.25,0.0076
Germany -> Philippines,Germany,Philippines,PHP,0.0052,1.7,0.0139
Japan -> India,Japan,India,INR,0.0119,1.65,0.0149
Portugal -> India,Portugal,India,INR,0.0062,1.41,0.008
France -> India,France,India,INR,0.0116,0.51,0.0135
Iceland -> Philippines,Iceland,Philippines,PHP,0.0112,0.87,0.0128
France -> Philippines,France,Philippines,PHP,0.0083,0.85,0.0136
Germany -> India,Germany,India,INR,0.0089,1.09,0.0138
Japan -> Poland,Japan,Poland,PLN,0.0074,0.79,0.0142
Portugal -> Kenya,Portugal,Kenya,KES,0.0091,1.37,0.0088
Channel Islands -> Pakistan,Channel Islands,Pakistan,PKR,0.0111,1.54,0.0097
Denmark -> Nigeria,Denmark,Nigeria,NGN,0.0107,0.8,0.0094
Spain -> Pakistan,Spain,Pakistan,PKR,0.0044,1.99,0.0054
Japan -> USA,Japan,USA,USD,0.0061,1.28,0.0107
Spain -> Poland,Spain,Poland,PLN,0.0059,1.02,0.0077
Cyprus -> USA,Cyprus,USA,USD,0.0079,1.28,0.0048
Sweden -> Pakistan,Sweden,Pakistan,PKR,0.0087,0.9,0.0136
Finland -> Bangladesh,Finland,Bangladesh,BDT,0.0112,0.56,0.0093
Austria -> USA,Austria,USA,USD,0.0103,0.91,0.0044
Spain -> India,Spain,India,INR,0.004,0.98,0.0095
Portugal -> Pakistan,Portugal,Pakistan,PKR,0.0059,0.97,0.0091
Belgium -> Philippines,Belgium,Philippines,PHP,0.0073,1.52,0.009
EIRE -> Poland,EIRE,Poland,PLN,0.009,0.75,0.009
Netherlands -> Philippines,Netherlands,Philippines,PHP,0.0046,1.69,0.0067
Italy -> Pakistan,Italy,Pakistan,PKR,0.0098,1.36,0.0074
Belgium -> Kenya,Belgium,Kenya,KES,0.0048,1.79,0.0073
Sweden -> Nigeria,Sweden,Nigeria,NGN,0.0047,1.82,0.0046
Australia -> USA,Australia,USA,USD,0.0055,0.57,0.0103
Spain -> Nigeria,Spain,Nigeria,NGN,0.0051,1.62,0.0108
France -> Ghana,France,Ghana,GHS,0.0061,1.89,0.011
France -> Nigeria,France,Nigeria,NGN,0.0064,0.99,0.0143
Cyprus -> Poland,Cyprus,Poland,PLN,0.0107,0.87,0.0053
Italy -> USA,Italy,USA,USD,0.0062,0.65,0.0043
Portugal -> Philippines,Portugal,Philippines,PHP,0.0082,0.82,0.0114
Switzerland -> USA,Switzerland,USA,USD,0.0071,1.04,0.005
Australia -> Poland,Australia,Poland,PLN,0.0117,1.86,0.0059
Australia -> Pakistan,Australia,Pakistan,PKR,0.0048,1.69,0.0137
Belgium -> Bangladesh,Belgium,Bangladesh,BDT,0.0095,1.12,0.0083
Finland -> Pakistan,Finland,Pakistan,PKR,0.0096,0.58,0.005
Greece -> Poland,Greece,Poland,PLN,0.0072,1.31,0.0142
Singapore -> Bangladesh,Singapore,Bangladesh,BDT,0.0089,0.89,0.0096
Italy -> Bangladesh,Italy,Bangladesh,BDT,0.0042,0.73,0.0127
Channel Islands -> USA,Channel Islands,USA,USD,0.0041,1.72,0.0086
Lebanon -> Kenya,Lebanon,Kenya,KES,0.0117,0.78,0.0135
Netherlands -> USA,Netherlands,USA,USD,0.0078,1.06,0.0058
Austria -> Bangladesh,Austria,Bangladesh,BDT,0.0056,1.54,0.0136
Sweden -> India,Sweden,India,INR,0.0063,1.09,0.0142
Austria -> Poland,Austria,Poland,PLN,0.0113,1.01,0.0092
Norway -> India,Norway,India,INR,0.0082,1.06,0.007
Belgium -> India,Belgium,India,INR,0.0106,1.33,0.0112
Japan -> Nigeria,Japan,Nigeria,NGN,0.0064,1.92,0.0145
Switzerland -> India,Switzerland,India,INR,0.0106,1.01,0.0078
Cyprus -> Nigeria,Cyprus,Nigeria,NGN,0.0106,0.91,0.0051
Poland -> Pakistan,Poland,Pakistan,PKR,0.0072,1.42,0.0135
Belgium -> Nigeria,Belgium,Nigeria,NGN,0.0081,1.45,0.0078
United Arab Emirates -> Philippines,United Arab Emirates,Philippines,PHP,0.0093,1.7,0.0138
Channel Islands -> Nigeria,Channel Islands,Nigeria,NGN,0.0086,1.82,0.0065
Cyprus -> India,Cyprus,India,INR,0.0048,1.5,0.0103
Israel -> Bangladesh,Israel,Bangladesh,BDT,0.0046,0.96,0.0063
Norway -> Kenya,Norway,Kenya,KES,0.0066,1.22,0.0111
Denmark -> Kenya,Denmark,Kenya,KES,0.0092,1.5,0.0063
Cyprus -> Bangladesh,Cyprus,Bangladesh,BDT,0.0074,1.84,0.0078
Saudi Arabia -> India,Saudi Arabia,India,INR,0.0074,1.85,0.0081
Finland -> USA,Finland,USA,USD,0.0048,0.55,0.0145
Czech Republic -> Nigeria,Czech Republic,Nigeria,NGN,0.008,1.34,0.0046
Channel Islands -> India,Channel Islands,India,INR,0.0116,1.58,0.0149
Italy -> Kenya,Italy,Kenya,KES,0.0096,1.95,0.0052
Netherlands -> India,Netherlands,India,INR,0.0104,1.36,0.0071
Canada -> India,Canada,India,INR,0.0086,1.0,0.0082
Italy -> Nigeria,Italy,Nigeria,NGN,0.004,1.42,0.0113
Austria -> Nigeria,Austria,Nigeria,NGN,0.0086,0.77,0.0098
Australia -> Bangladesh,Australia,Bangladesh,BDT,0.0105,1.26,0.0049
Switzerland -> Poland,Switzerland,Poland,PLN,0.0104,1.35,0.0086
Greece -> India,Greece,India,INR,0.0053,1.04,0.0087
Belgium -> USA,Belgium,USA,USD,0.0062,1.71,0.006
Spain -> Kenya,Spain,Kenya,KES,0.007,1.73,0.0142
Unspecified -> Pakistan,Unspecified,Pakistan,PKR,0.008,1.91,0.0101
Brazil -> Kenya,Brazil,Kenya,KES,0.0087,1.56,0.0106
Sweden -> USA,Sweden,USA,USD,0.0098,1.05,0.0062
USA -> Philippines,USA,Philippines,PHP,0.0049,1.12,0.0136
Switzerland -> Bangladesh,Switzerland,Bangladesh,BDT,0.0102,1.75,0.0127
European Community -> Poland,European Community,Poland,PLN,0.0098,0.5,0.0096
Spain -> Philippines,Spain,Philippines,PHP,0.0096,1.08,0.0127
Canada -> Philippines,Canada,Philippines,PHP,0.0079,1.75,0.0136
Switzerland -> Nigeria,Switzerland,Nigeria,NGN,0.0044,1.66,0.0112
Bahrain -> India,Bahrain,India,INR,0.0054,0.76,0.0054
Unspecified -> India,Unspecified,India,INR,0.0081,1.43,0.0072
Bahrain -> USA,Bahrain,USA,USD,0.0075,1.17,0.0108
Poland -> Nigeria,Poland,Nigeria,NGN,0.0115,1.06,0.0054
Malta -> Poland,Malta,Poland,PLN,0.0047,0.91,0.0115
Portugal -> Poland,Portugal,Poland,PLN,0.0098,1.21,0.0068
Poland -> Bangladesh,Poland,Bangladesh,BDT,0.0065,0.61,0.0136
Canada -> USA,Canada,USA,USD,0.0057,0.55,0.0052
Norway -> Nigeria,Norway,Nigeria,NGN,0.0112,0.54,0.0101
Norway -> USA,Norway,USA,USD,0.0083,0.65,0.0128
Denmark -> USA,Denmark,USA,USD,0.0059,0.55,0.0057
Sweden -> Philippines,Sweden,Philippines,PHP,0.0051,1.2,0.0055
Spain -> Bangladesh,Spain,Bangladesh,BDT,0.0073,1.23,0.0076
Austria -> Kenya,Austria,Kenya,KES,0.0114,1.74,0.0122
Finland -> Philippines,Finland,Philippines,PHP,0.0106,1.24,0.0054
Unspecified -> Bangladesh,Unspecified,Bangladesh,BDT,0.0058,1.45,0.0074
Austria -> India,Austria,India,INR,0.0115,0.86,0.0089
Channel Islands -> Poland,Channel Islands,Poland,PLN,0.0097,1.76,0.0148
Poland -> Poland,Poland,Poland,PLN,0.0061,1.86,0.0041
Malta -> Kenya,Malta,Kenya,KES,0.0113,1.08,0.0043
Switzerland -> Pakistan,Switzerland,Pakistan,PKR,0.0107,1.42,0.0119
Channel Islands -> Kenya,Channel Islands,Kenya,KES,0.0109,0.83,0.0116
Canada -> Kenya,Canada,Kenya,KES,0.0054,1.75,0.006
Sweden -> Poland,Sweden,Poland,PLN,0.0064,0.55,0.0146
Finland -> India,Finland,India,INR,0.0069,1.76,0.0044
Japan -> Bangladesh,Japan,Bangladesh,BDT,0.0052,0.64,0.0045
Cyprus -> Philippines,Cyprus,Philippines,PHP,0.0094,1.67,0.0059
Israel -> Kenya,Israel,Kenya,KES,0.0062,1.46,0.0077
USA -> Poland,USA,Poland,PLN,0.0111,1.41,0.0104
RSA -> Philippines,RSA,Philippines,PHP,0.0052,1.3,0.0048
Finland -> Kenya,Finland,Kenya,KES,0.0088,1.23,0.0089
USA -> Pakistan,USA,Pakistan,PKR,0.0082,0.81,0.007
Italy -> Poland,Italy,Poland,PLN,0.0094,0.62,0.0122
USA -> Nigeria,USA,Nigeria,NGN,0.0041,1.34,0.0126
Denmark -> Poland,Denmark,Poland,PLN,0.0064,1.48,0.0067
Greece -> Nigeria,Greece,Nigeria,NGN,0.0047,1.6,0.0102
