transfer_id,customer_id,transfer_ts,source_country,dest_country,corridor,send_currency,dest_currency,send_amount_gbp,fee_gbp,total_cost_gbp,fx_mid_rate,fx_spread,customer_rate,recipient_amount,fx_margin_gbp,n_line_items
536377,17850,2010-12-01 09:34:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536378,14688,2010-12-01 09:37:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,444.98,3.96,448.94,1.17,0.0107,1.157481,515.06,4.76,19
536380,17809,2010-12-01 09:41:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,34.8,0.82,35.62,355.0,0.0123,350.6335,12202.05,0.43,1
536381,15311,2010-12-01 09:41:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,449.98,3.69,453.67,5.05,0.0123,4.987885,2244.45,5.53,35
536382,16098,2010-12-01 09:45:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,430.6,2.28,432.88,355.0,0.0123,350.6335,150982.79,5.3,12
536384,18074,2010-12-01 09:53:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,489.6,3.38,492.98,71.0,0.0075,70.4675,34500.89,3.67,13
536385,17420,2010-12-01 09:56:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,130.85,1.44,132.29,5.05,0.0123,4.987885,652.66,1.61,7
536386,16029,2010-12-01 09:57:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,508.2,4.17,512.37,5.05,0.0123,4.987885,2534.84,6.25,3
536387,16029,2010-12-01 09:58:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,3193.92,26.19,3220.11,5.05,0.0123,4.987885,15930.91,39.29,5
536388,16250,2010-12-01 09:59:00,United Kingdom,India,United Kingdom -> India,GBP,INR,226.14,1.37,227.51,105.0,0.0047,104.5065,23633.1,1.06,14
536389,12431,2010-12-01 10:03:00,Australia,Philippines,Australia -> Philippines,GBP,PHP,358.25,1.47,359.72,71.0,0.0105,70.2545,25168.67,3.76,14
536390,17511,2010-12-01 10:19:00,United Kingdom,Ghana,United Kingdom -> Ghana,GBP,GHS,1825.74,7.67,1833.41,15.5,0.0124,15.3078,27948.06,22.64,24
536392,13705,2010-12-01 10:29:00,United Kingdom,India,United Kingdom -> India,GBP,INR,318.14,1.37,319.51,105.0,0.0047,104.5065,33247.7,1.5,10
536393,13747,2010-12-01 10:37:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,79.6,1.44,81.04,5.05,0.0123,4.987885,397.04,0.98,1
536394,13408,2010-12-01 10:39:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,1024.68,8.4,1033.08,5.05,0.0123,4.987885,5110.99,12.6,11
536395,13767,2010-12-01 10:47:00,United Kingdom,India,United Kingdom -> India,GBP,INR,507.88,2.13,510.01,105.0,0.0047,104.5065,53076.76,2.39,14
536396,17850,2010-12-01 10:51:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,376.36,3.58,379.94,1150.0,0.0051,1144.135,430606.65,1.92,18
536397,17924,2010-12-01 10:51:00,United Kingdom,India,United Kingdom -> India,GBP,INR,279.0,1.37,280.37,105.0,0.0047,104.5065,29157.31,1.31,2
536398,13448,2010-12-01 10:52:00,United Kingdom,India,United Kingdom -> India,GBP,INR,426.56,1.79,428.35,105.0,0.0047,104.5065,44578.29,2.0,17
536399,17850,2010-12-01 10:52:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536400,13448,2010-12-01 10:53:00,United Kingdom,India,United Kingdom -> India,GBP,INR,17.4,1.37,18.77,105.0,0.0047,104.5065,1818.41,0.08,1
536401,15862,2010-12-01 11:21:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,354.23,1.88,356.11,355.0,0.0123,350.6335,124204.9,4.36,64
536402,15513,2010-12-01 11:22:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,357.0,3.39,360.39,1150.0,0.0051,1144.135,408456.2,1.82,3
536403,12791,2010-12-01 11:27:00,Netherlands,Pakistan,Netherlands -> Pakistan,GBP,PKR,192.6,1.79,194.39,355.0,0.012,350.74,67552.52,2.31,2
536404,16218,2010-12-01 11:29:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,471.3,4.48,475.78,1150.0,0.0051,1144.135,539230.83,2.4,28
536405,14045,2010-12-01 11:32:00,United Kingdom,India,United Kingdom -> India,GBP,INR,326.4,1.37,327.77,105.0,0.0047,104.5065,34110.92,1.53,1
536406,17850,2010-12-01 11:33:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,353.14,3.35,356.49,1150.0,0.0051,1144.135,404039.83,1.8,17
536407,17850,2010-12-01 11:34:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536408,14307,2010-12-01 11:41:00,United Kingdom,India,United Kingdom -> India,GBP,INR,783.11,3.29,786.4,105.0,0.0047,104.5065,81840.09,3.68,48
536409,17908,2010-12-01 11:45:00,United Kingdom,India,United Kingdom -> India,GBP,INR,243.28,1.37,244.65,105.0,0.0047,104.5065,25424.34,1.14,58
536412,17920,2010-12-01 11:49:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,514.41,4.58,518.99,1.17,0.0107,1.157481,595.42,5.5,81
536415,12838,2010-12-01 11:57:00,United Kingdom,India,United Kingdom -> India,GBP,INR,390.79,1.64,392.43,105.0,0.0047,104.5065,40840.1,1.84,59
536416,13255,2010-12-01 11:58:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,225.7,2.01,227.71,1.17,0.0107,1.157481,261.24,2.41,6
536420,16583,2010-12-01 12:03:00,United Kingdom,Bangladesh,United Kingdom -> Bangladesh,GBP,BDT,233.45,1.76,235.21,139.0,0.009,137.749,32157.5,2.1,14
536423,18085,2010-12-01 12:08:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,303.9,1.61,305.51,355.0,0.0123,350.6335,106557.52,3.74,9
536425,13758,2010-12-01 12:08:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,362.45,3.44,365.89,1150.0,0.0051,1144.135,414691.73,1.85,17
536437,13694,2010-12-01 12:12:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,842.12,7.49,849.61,1.17,0.0107,1.157481,974.74,9.01,6
536446,15983,2010-12-01 12:15:00,United Kingdom,Kenya,United Kingdom -> Kenya,GBP,KES,440.89,2.6,443.49,200.0,0.014,197.2,86943.51,6.17,32
536460,14849,2010-12-01 12:22:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,295.54,1.57,297.11,355.0,0.0123,350.6335,103626.22,3.64,14
536463,14849,2010-12-01 12:22:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,17.4,0.82,18.22,355.0,0.0123,350.6335,6101.02,0.21,1
536464,17968,2010-12-01 12:23:00,United Kingdom,USA,United Kingdom -> USA,GBP,USD,277.35,1.55,278.9,1.27,0.0101,1.257173,348.68,2.8,85
536466,14849,2010-12-01 12:23:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,42.9,0.82,43.72,355.0,0.0123,350.6335,15042.18,0.53,2
536477,16210,2010-12-01 12:27:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,2474.74,20.29,2495.03,5.05,0.0123,4.987885,12343.72,30.44,14
536488,17897,2010-12-01 12:31:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,165.89,1.58,167.47,1150.0,0.0051,1144.135,189800.56,0.85,35
536500,17377,2010-12-01 12:35:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,223.9,1.84,225.74,5.05,0.0123,4.987885,1116.79,2.75,15
536502,16552,2010-12-01 12:36:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,95.29,1.89,97.18,1.17,0.0107,1.157481,110.3,1.02,5
536508,17181,2010-12-01 12:38:00,United Kingdom,India,United Kingdom -> India,GBP,INR,155.52,1.37,156.89,105.0,0.0047,104.5065,16252.85,0.73,2
536514,17951,2010-12-01 12:40:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,295.5,2.42,297.92,5.05,0.0123,4.987885,1473.92,3.63,5
536520,14729,2010-12-01 12:43:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,313.49,1.66,315.15,355.0,0.0123,350.6335,109920.1,3.86,71
536521,12748,2010-12-01 12:48:00,United Kingdom,Romania,United Kingdom -> Romania,GBP,RON,4.95,0.73,5.68,5.8,0.0141,5.71822,28.31,0.07,1
536522,15012,2010-12-01 12:49:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,191.06,1.57,192.63,5.05,0.0123,4.987885,952.99,2.35,54
536523,12868,2010-12-01 12:50:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,203.3,1.89,205.19,1.17,0.0107,1.157481,235.32,2.18,12
536524,17572,2010-12-01 12:51:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,70.8,0.82,71.62,355.0,0.0123,350.6335,24824.85,0.87,4
536525,14078,2010-12-01 12:54:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,136.24,1.29,137.53,1150.0,0.0051,1144.135,155876.95,0.69,13
536526,14001,2010-12-01 12:58:00,United Kingdom,India,United Kingdom -> India,GBP,INR,301.24,1.37,302.61,105.0,0.0047,104.5065,31481.54,1.42,9
536527,12662,2010-12-01 13:04:00,Germany,Poland,Germany -> Poland,GBP,PLN,261.48,1.9,263.38,5.05,0.0068,5.01566,1311.49,1.78,15
536528,15525,2010-12-01 13:17:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,313.93,1.66,315.59,355.0,0.0123,350.6335,110074.37,3.86,57
536529,14237,2010-12-01 13:20:00,United Kingdom,India,United Kingdom -> India,GBP,INR,161.0,1.37,162.37,105.0,0.0047,104.5065,16825.55,0.76,9
536530,17905,2010-12-01 13:21:00,United Kingdom,India,United Kingdom -> India,GBP,INR,201.75,1.37,203.12,105.0,0.0047,104.5065,21084.19,0.95,23
536531,15485,2010-12-01 13:23:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,950.09,5.04,955.13,355.0,0.0123,350.6335,333133.38,11.69,23
536532,12433,2010-12-01 13:24:00,Norway,Philippines,Norway -> Philippines,GBP,PHP,1919.14,17.85,1936.99,71.0,0.015,69.935,134215.06,28.79,73
536533,16955,2010-12-01 13:31:00,United Kingdom,USA,United Kingdom -> USA,GBP,USD,156.1,1.55,157.65,1.27,0.0101,1.257173,196.24,1.58,6
536534,15350,2010-12-01 13:33:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,115.65,1.42,117.07,71.0,0.0075,70.4675,8149.57,0.87,5
536535,15605,2010-12-01 13:38:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,194.85,1.39,196.24,1.17,0.0094,1.159002,225.83,1.83,12
536536,18144,2010-12-01 13:45:00,United Kingdom,India,United Kingdom -> India,GBP,INR,165.05,1.37,166.42,105.0,0.0047,104.5065,17248.8,0.78,3
536537,15922,2010-12-01 13:51:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,369.5,3.51,373.01,1150.0,0.0051,1144.135,422757.88,1.88,11
536538,14594,2010-12-01 13:54:00,United Kingdom,USA,United Kingdom -> USA,GBP,USD,255.0,1.55,256.55,1.27,0.0101,1.257173,320.58,2.58,31
536539,15165,2010-12-01 14:03:00,United Kingdom,Ghana,United Kingdom -> Ghana,GBP,GHS,487.75,2.05,489.8,15.5,0.0124,15.3078,7466.38,6.05,27
536540,14911,2010-12-01 14:05:00,EIRE,Nigeria,EIRE -> Nigeria,GBP,NGN,540.38,2.16,542.54,1150.0,0.0127,1135.395,613544.75,6.86,20
536541,14911,2010-12-01 14:05:00,EIRE,Nigeria,EIRE -> Nigeria,GBP,NGN,15.0,1.49,16.49,1150.0,0.0127,1135.395,17030.92,0.19,1
536542,16456,2010-12-01 14:11:00,United Kingdom,USA,United Kingdom -> USA,GBP,USD,787.4,3.39,790.79,1.27,0.0101,1.257173,989.9,7.95,16
536551,17346,2010-12-01 14:34:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,146.61,1.44,148.05,5.05,0.0123,4.987885,731.27,1.8,35
536556,17643,2010-12-01 14:38:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,101.55,0.96,102.51,1150.0,0.0051,1144.135,116186.91,0.52,8
536557,17841,2010-12-01 14:41:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,537.38,5.11,542.49,1150.0,0.0051,1144.135,614835.27,2.74,65
536559,17873,2010-12-01 14:54:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,215.15,1.76,216.91,5.05,0.0123,4.987885,1073.14,2.65,9
536560,13093,2010-12-01 15:00:00,United Kingdom,Bangladesh,United Kingdom -> Bangladesh,GBP,BDT,799.4,5.84,805.24,139.0,0.009,137.749,110116.55,7.19,13
536561,12921,2010-12-01 15:06:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,322.4,2.22,324.62,71.0,0.0075,70.4675,22718.72,2.42,15
536562,13468,2010-12-01 15:08:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,308.65,1.94,310.59,1.17,0.0094,1.159002,357.73,2.9,18
536563,17760,2010-12-01 15:08:00,United Kingdom,India,United Kingdom -> India,GBP,INR,172.54,1.37,173.91,105.0,0.0047,104.5065,18031.55,0.81,9
536564,13468,2010-12-01 15:08:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,51.4,1.39,52.79,1.17,0.0094,1.159002,59.57,0.48,2
536566,16928,2010-12-01 15:21:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,116.25,1.44,117.69,5.05,0.0123,4.987885,579.84,1.43,6
536567,16048,2010-12-01 15:27:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,251.4,2.39,253.79,1150.0,0.0051,1144.135,287635.54,1.28,7
536568,16048,2010-12-01 15:28:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,5.04,0.81,5.85,1150.0,0.0051,1144.135,5766.44,0.03,1
536569,16274,2010-12-01 15:35:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,357.95,2.94,360.89,5.05,0.0123,4.987885,1785.41,4.4,67
536570,14496,2010-12-01 15:35:00,United Kingdom,Romania,United Kingdom -> Romania,GBP,RON,304.34,2.5,306.84,5.8,0.0141,5.71822,1740.28,4.29,5
536571,14696,2010-12-01 15:37:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,294.62,1.56,296.18,355.0,0.0123,350.6335,103303.64,3.62,18
536572,16539,2010-12-01 15:40:00,United Kingdom,USA,United Kingdom -> USA,GBP,USD,442.35,1.9,444.25,1.27,0.0101,1.257173,556.11,4.47,21
536573,17025,2010-12-01 15:45:00,United Kingdom,Kenya,United Kingdom -> Kenya,GBP,KES,143.12,0.84,143.96,200.0,0.014,197.2,28223.26,2.0,4
536574,17025,2010-12-01 15:46:00,United Kingdom,Kenya,United Kingdom -> Kenya,GBP,KES,17.85,0.53,18.38,200.0,0.014,197.2,3520.02,0.25,1
536575,13777,2010-12-01 16:01:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,1552.98,9.78,1562.76,1.17,0.0094,1.159002,1799.91,14.6,8
536576,13777,2010-12-01 16:11:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,2558.42,16.12,2574.54,1.17,0.0094,1.159002,2965.21,24.05,16
536577,13777,2010-12-01 16:13:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,497.0,3.13,500.13,1.17,0.0094,1.159002,576.02,4.67,4
536578,17690,2010-12-01 16:15:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,279.6,2.29,281.89,5.05,0.0123,4.987885,1394.61,3.44,8
536579,13777,2010-12-01 16:16:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,315.96,1.99,317.95,1.17,0.0094,1.159002,366.2,2.97,2
536580,17690,2010-12-01 16:17:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,97.2,1.44,98.64,5.05,0.0123,4.987885,484.82,1.2,6
536581,13777,2010-12-01 16:19:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,330.0,2.08,332.08,1.17,0.0094,1.159002,382.47,3.1,1
536582,12947,2010-12-01 16:21:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,304.04,1.92,305.96,1.17,0.0094,1.159002,352.38,2.86,17
536583,13777,2010-12-01 16:21:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,198.0,1.39,199.39,1.17,0.0094,1.159002,229.48,1.86,1
536584,13777,2010-12-01 16:22:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,1132.8,7.14,1139.94,1.17,0.0094,1.159002,1312.92,10.65,1
536585,17460,2010-12-01 16:24:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,19.9,1.42,21.32,71.0,0.0075,70.4675,1402.3,0.15,1
536586,18229,2010-12-01 16:25:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,344.2,2.17,346.37,1.17,0.0094,1.159002,398.93,3.24,7
536587,14142,2010-12-01 16:33:00,United Kingdom,India,United Kingdom -> India,GBP,INR,311.81,1.37,313.18,105.0,0.0047,104.5065,32586.17,1.47,22
536588,17069,2010-12-01 16:49:00,United Kingdom,Bangladesh,United Kingdom -> Bangladesh,GBP,BDT,277.05,2.02,279.07,139.0,0.009,137.749,38163.36,2.49,11
536590,13065,2010-12-01 16:52:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,205.86,1.69,207.55,5.05,0.0123,4.987885,1026.81,2.53,14
536591,14606,2010-12-01 16:57:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,198.32,1.89,200.21,1.17,0.0107,1.157481,229.55,2.12,40
536593,16835,2010-12-01 17:15:00,United Kingdom,Ghana,United Kingdom -> Ghana,GBP,GHS,81.75,1.97,83.72,15.5,0.0124,15.3078,1251.41,1.01,5
536594,15235,2010-12-01 17:22:00,United Kingdom,India,United Kingdom -> India,GBP,INR,79.5,1.37,80.87,105.0,0.0047,104.5065,8308.27,0.37,5
536595,13576,2010-12-01 17:24:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,349.15,2.86,352.01,5.05,0.0123,4.987885,1741.52,4.29,11
536597,18011,2010-12-01 17:35:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,102.79,1.42,104.21,71.0,0.0075,70.4675,7243.35,0.77,28
536598,13090,2010-12-02 07:48:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,160.6,1.89,162.49,1.17,0.0107,1.157481,185.89,1.72,4
536599,15694,2010-12-02 07:49:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,306.4,2.11,308.51,71.0,0.0075,70.4675,21591.24,2.3,6
536600,17850,2010-12-02 08:32:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,251.62,2.39,254.01,1150.0,0.0051,1144.135,287887.25,1.28,12
536601,17850,2010-12-02 08:33:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536602,17850,2010-12-02 08:34:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,163.76,1.56,165.32,1150.0,0.0051,1144.135,187363.55,0.84,12
536603,17850,2010-12-02 08:40:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536604,14741,2010-12-02 08:43:00,United Kingdom,USA,United Kingdom -> USA,GBP,USD,184.5,1.55,186.05,1.27,0.0101,1.257173,231.95,1.86,9
536605,13715,2010-12-02 08:52:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,272.65,1.72,274.37,1.17,0.0094,1.159002,316.0,2.56,15
536607,17732,2010-12-02 09:29:00,United Kingdom,India,United Kingdom -> India,GBP,INR,303.97,1.37,305.34,105.0,0.0047,104.5065,31766.84,1.43,18
536608,12855,2010-12-02 09:37:00,United Kingdom,Bangladesh,United Kingdom -> Bangladesh,GBP,BDT,38.1,1.76,39.86,139.0,0.009,137.749,5248.24,0.34,3
536609,17850,2010-12-02 09:41:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,244.46,2.32,246.78,1150.0,0.0051,1144.135,279695.24,1.25,16
536610,17850,2010-12-02 09:42:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536611,15752,2010-12-02 09:43:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,259.65,2.47,262.12,1150.0,0.0051,1144.135,297074.65,1.32,14
536612,17850,2010-12-02 09:44:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,206.76,1.96,208.72,1150.0,0.0051,1144.135,236561.35,1.05,15
536613,17855,2010-12-02 09:44:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,208.97,1.44,210.41,71.0,0.0075,70.4675,14725.59,1.57,17
536614,17850,2010-12-02 09:44:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536615,14047,2010-12-02 10:09:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,286.92,2.55,289.47,1.17,0.0107,1.157481,332.1,3.07,12
536616,17925,2010-12-02 10:10:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,244.08,2.0,246.08,5.05,0.0123,4.987885,1217.44,3.0,1
536617,13941,2010-12-02 10:17:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,1095.12,10.4,1105.52,1150.0,0.0051,1144.135,1252965.12,5.59,11
536618,17017,2010-12-02 10:17:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,780.12,6.94,787.06,1.17,0.0107,1.157481,902.97,8.35,21
536619,17017,2010-12-02 10:18:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,97.2,1.89,99.09,1.17,0.0107,1.157481,112.51,1.04,2
536620,14135,2010-12-02 10:27:00,United Kingdom,India,United Kingdom -> India,GBP,INR,485.25,2.04,487.29,105.0,0.0047,104.5065,50711.78,2.28,23
536621,13108,2010-12-02 10:35:00,United Kingdom,Kenya,United Kingdom -> Kenya,GBP,KES,350.06,2.07,352.13,200.0,0.014,197.2,69031.83,4.9,10
536623,15601,2010-12-02 10:39:00,United Kingdom,France,United Kingdom -> France,GBP,EUR,768.38,4.84,773.22,1.17,0.0094,1.159002,890.55,7.22,48
536624,13418,2010-12-02 10:45:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,610.64,5.01,615.65,5.05,0.0123,4.987885,3045.8,7.51,22
536626,13418,2010-12-02 10:46:00,United Kingdom,Poland,United Kingdom -> Poland,GBP,PLN,12.6,1.44,14.04,5.05,0.0123,4.987885,62.85,0.15,1
536627,15658,2010-12-02 10:53:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,306.2,2.11,308.31,71.0,0.0075,70.4675,21577.15,2.3,14
536628,17850,2010-12-02 10:54:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,230.56,2.19,232.75,1150.0,0.0051,1144.135,263791.77,1.18,16
536629,17850,2010-12-02 10:55:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536630,17850,2010-12-02 10:56:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,244.46,2.32,246.78,1150.0,0.0051,1144.135,279695.24,1.25,16
536631,17850,2010-12-02 10:58:00,United Kingdom,Nigeria,United Kingdom -> Nigeria,GBP,NGN,22.2,0.81,23.01,1150.0,0.0051,1144.135,25399.8,0.11,2
536632,14388,2010-12-02 11:02:00,United Kingdom,Germany,United Kingdom -> Germany,GBP,EUR,312.8,2.78,315.58,1.17,0.0107,1.157481,362.06,3.35,21
536633,14901,2010-12-02 11:20:00,United Kingdom,Pakistan,United Kingdom -> Pakistan,GBP,PKR,204.15,1.08,205.23,355.0,0.0123,350.6335,71581.83,2.51,18
536634,18041,2010-12-02 11:21:00,United Kingdom,India,United Kingdom -> India,GBP,INR,193.78,1.37,195.15,105.0,0.0047,104.5065,20251.27,0.91,14
536635,15955,2010-12-02 11:22:00,United Kingdom,Romania,United Kingdom -> Romania,GBP,RON,572.38,4.69,577.07,5.8,0.0141,5.71822,3272.99,8.07,20
536636,15070,2010-12-02 11:23:00,United Kingdom,Philippines,United Kingdom -> Philippines,GBP,PHP,106.2,1.42,107.62,71.0,0.0075,70.4675,7483.65,0.8,1
536637,18041,2010-12-02 11:35:00,United Kingdom,India,United Kingdom -> India,GBP,INR,235.16,1.37,236.53,105.0,0.0047,104.5065,24575.75,1.11,67
